Designator,Mid X,Mid Y,Rotation,Layer
C1,61.25,-74.1625,270.0,top
C10,91.25,-74.1625,270.0,top
C11,93.75,-62.9125,90.0,top
C12,93.75,-74.1625,270.0,top
C13,101.25,-74.1625,270.0,top
C14,103.75,-62.9125,90.0,top
C15,103.75,-74.1625,270.0,top
C16,111.25,-74.1625,270.0,top
C17,113.75,-62.9125,90.0,top
C18,113.75,-74.1625,270.0,top
C19,121.25,-74.1625,270.0,top
C2,63.75,-62.9125,90.0,top
C20,123.75,-62.9125,90.0,top
C21,123.75,-74.1625,270.0,top
C22,131.25,-74.1625,270.0,top
C23,133.75,-62.9125,90.0,top
C24,133.75,-74.1625,270.0,top
C3,63.75,-74.1625,270.0,top
C4,71.25,-74.1625,270.0,top
C5,73.75,-62.9125,90.0,top
C6,73.75,-74.1625,270.0,top
C7,81.25,-74.1625,270.0,top
C8,83.75,-62.9125,90.0,top
C9,83.75,-74.1625,270.0,top
J1,43.9,-145.5875,180.0,top
JP1,61.25,-55.9125,270.0,top
JP2,71.25,-55.9125,270.0,top
JP3,81.25,-55.9125,270.0,top
JP4,91.25,-55.9125,270.0,top
JP5,101.25,-55.9125,270.0,top
JP6,111.25,-55.9125,270.0,top
JP7,121.25,-55.9125,270.0,top
JP8,131.25,-55.9125,270.0,top
R1,50.0,-58.5,180.0,top
R10,73.75,-59.4125,270.0,top
R11,73.75,-55.9125,90.0,top
R12,71.25,-59.4125,270.0,top
R13,71.25,-62.9125,90.0,top
R14,83.75,-59.4125,270.0,top
R15,83.75,-55.9125,90.0,top
R16,81.25,-59.4125,270.0,top
R17,81.25,-62.9125,90.0,top
R18,93.75,-59.4125,270.0,top
R19,93.75,-55.9125,90.0,top
R2,50.0,-60.25,180.0,top
R20,91.25,-59.4125,270.0,top
R21,91.25,-62.9125,90.0,top
R22,103.75,-59.4125,270.0,top
R23,103.75,-55.9125,90.0,top
R24,101.25,-59.4125,270.0,top
R25,101.25,-62.9125,90.0,top
R26,113.75,-59.4125,270.0,top
R27,113.75,-55.9125,90.0,top
R28,111.25,-59.4125,270.0,top
R29,111.25,-62.9125,90.0,top
R3,45.0,-67.4,180.0,top
R30,123.75,-59.4125,270.0,top
R31,123.75,-55.9125,90.0,top
R32,121.25,-59.4125,270.0,top
R33,121.25,-62.9125,90.0,top
R34,133.75,-59.4125,270.0,top
R35,133.75,-55.9125,90.0,top
R36,131.25,-59.4125,270.0,top
R37,131.25,-62.9125,90.0,top
R4,46.0,-64.25,90.0,top
R5,44.0,-64.25,90.0,top
R6,63.75,-59.4125,270.0,top
R7,63.75,-55.9125,90.0,top
R8,61.25,-59.4125,270.0,top
R9,61.25,-62.9125,90.0,top
U1,45.0,-59.5,270.0,top
U2,62.5,-68.5,90.0,top
U3,72.5,-68.5,90.0,top
U4,82.5,-68.5,90.0,top
U5,92.5,-68.5,90.0,top
U6,102.5,-68.5,90.0,top
U7,112.5,-68.5,90.0,top
U8,122.5,-68.5,90.0,top
U9,132.5,-68.5,90.0,top
